run,freq_Hz,period_s,idd_A,,,,
436,6.60E+06,1.51E-07,0.000132897,,,,
437,5.69E+06,1.76E-07,0.000128761,,,,
438,5.57E+06,1.80E-07,0.000125795,,,,
439,5.48E+06,1.82E-07,0.000129128,,,,
440,7.29E+06,1.37E-07,0.00013122,,,,
441,6.37E+06,1.57E-07,0.000125744,,,,
442,5.64E+06,1.77E-07,0.000131002,,,,
443,5.34E+06,1.87E-07,0.000128516,,,,
444,5.12E+06,1.95E-07,0.000132506,,,,
445,5.22E+06,1.91E-07,0.000129086,,,,
446,5.96E+06,1.68E-07,0.000125373,,,,
447,6.08E+06,1.65E-07,0.000130609,,,,
448,5.36E+06,1.87E-07,0.000127493,,,,
449,5.81E+06,1.72E-07,0.000129302,,,,
450,5.57E+06,1.80E-07,0.000129903,,,,
451,6.26E+06,1.60E-07,0.000130442,,,,
452,6.07E+06,1.65E-07,0.000125955,,,,
453,6.09E+06,1.64E-07,0.000128028,,,,
454,5.43E+06,1.84E-07,0.000128624,,,,
455,6.44E+06,1.55E-07,0.000124801,,,,
456,5.74E+06,1.74E-07,3.70E-05,,,,
457,5.26E+06,1.90E-07,0.000128598,,,,
458,5.57E+06,1.79E-07,0.000134473,,,,
459,5.97E+06,1.67E-07,0.000127199,,,,
460,6.68E+06,1.50E-07,0.000129964,,,,
461,5.56E+06,1.80E-07,0.000124085,,,,
462,5.58E+06,1.79E-07,0.000127501,,,,
463,6.43E+06,1.55E-07,0.000127416,,,,
464,5.96E+06,1.68E-07,0.000122117,,,,
465,5.76E+06,1.74E-07,0.000129516,,,,
466,5.95E+06,1.68E-07,0.000132101,,,,
467,6.72E+06,1.49E-07,0.000129578,,,,
468,6.20E+06,1.61E-07,0.000121815,,,,
469,5.44E+06,1.84E-07,0.000122738,,,,
470,6.04E+06,1.66E-07,0.000130906,,,,
471,5.46E+06,1.83E-07,0.000128231,,,,
472,6.60E+06,1.51E-07,0.000131125,,,,
473,5.59E+06,1.79E-07,0.000128554,,,,
474,6.44E+06,1.55E-07,0.000125826,,,,
475,5.52E+06,1.81E-07,0.000123045,,,,
476,6.33E+06,1.58E-07,0.000126487,,,,
477,5.99E+06,1.67E-07,0.000128006,,,,
478,5.61E+06,1.78E-07,0.000132811,,,,
479,5.54E+06,1.81E-07,0.000124268,,,,
480,6.46E+06,1.55E-07,0.000130606,,,,
481,6.03E+06,1.66E-07,0.00012613,,,,
482,,,,,0,0,0
483,5.53E+06,1.81E-07,0.000130671,,,,
484,5.93E+06,1.69E-07,0.000125775,,,,
485,6.93E+06,1.44E-07,8.07E-05,,,,
486,5.91E+06,1.69E-07,0.000129135,,,,
487,,,,,0,0,0
488,5.85E+06,1.71E-07,0.000126504,,,,
489,6.14E+06,1.63E-07,0.000128583,,,,
490,6.14E+06,1.63E-07,0.000131752,,,,
491,6.91E+06,1.45E-07,0.000126922,,,,
492,5.34E+06,1.87E-07,4.52E-05,,,,
493,5.40E+06,1.85E-07,0.000123133,,,,
494,5.18E+06,1.93E-07,0.000127398,,,,
495,5.77E+06,1.73E-07,0.000128279,,,,
496,5.84E+06,1.71E-07,0.000122902,,,,
497,4.78E+06,2.09E-07,0.000122553,,,,
498,5.43E+06,1.84E-07,0.000131029,,,,
499,5.77E+06,1.73E-07,0.000129018,,,,
500,6.71E+06,1.49E-07,0.000127847,,,,
